label,term,year,n_records
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1967,20
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1968,20
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1969,16
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1970,11
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1971,16
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1972,12
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1973,12
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1974,11
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1975,12
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1976,6
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1977,2
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1978,8
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1979,2
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1980,1
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1981,3
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1982,2
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1983,1
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1984,2
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1985,4
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1986,4
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1987,0
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1988,1
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1989,3
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1990,0
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1991,0
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1992,1
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1993,0
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1994,0
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1995,1
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1996,5
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1997,1
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1998,4
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1999,4
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2000,2
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2001,3
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2002,4
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2003,2
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2004,2
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2005,1
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2006,1
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2007,2
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2008,0
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2009,1
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2010,2
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2011,2
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2012,1
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2013,1
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2014,0
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2015,2
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2016,0
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2017,5
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2018,0
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2019,4
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2020,1
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2021,0
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2022,1
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2023,3
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",2024,2
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1950,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1951,4
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1952,5
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1953,2
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1954,4
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1955,3
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1956,3
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1957,5
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1958,2
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1959,9
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1960,2
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1961,5
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1962,3
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1963,4
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1964,2
